No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
43,2024-10-25 12:04:47.641,HewlettPacka_7a:5b:e2,Broadcast,802.11,412,-74 dBm,-98 dBm,24 dB,1,2412MHz,"Beacon frame, SN=2962, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Cafe,12,Friday,2962.0,0,0.0,2024-10-25 12:04:47.641,
44,2024-10-25 12:04:47.642,HewlettPacka_7a:5b:e0,Broadcast,802.11,421,-74 dBm,-98 dBm,24 dB,1,2412MHz,"Beacon frame, SN=2963, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Cafe,12,Friday,2963.0,0,0.0,2024-10-25 12:04:47.642,0.001
45,2024-10-25 12:04:47.642,eb:26:dd:90:47:95,97:ca:a3:eb:60:13,802.11,383,-73 dBm,-98 dBm,25 dB,1,2412MHz,"Probe Response, SN=1011, FN=3, Flags=op...M.TC",Cafe,12,Friday,1011.0,0,0.0,2024-10-25 12:04:47.642,0.0
46,2024-10-25 12:04:47.642,HewlettPacka_7a:5b:e4,Broadcast,802.11,395,-73 dBm,-98 dBm,25 dB,1,2412MHz,"Beacon frame, SN=2965, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Cafe,12,Friday,2965.0,0,0.0,2024-10-25 12:04:47.642,0.0
47,2024-10-25 12:04:47.643,HewlettPacka_7a:5b:e5,Broadcast,802.11,411,-74 dBm,-98 dBm,24 dB,1,2412MHz,"Beacon frame, SN=2967, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Cafe,12,Friday,2967.0,0,0.0,2024-10-25 12:04:47.643,0.001
55,2024-10-25 12:04:47.712,HewlettPacka_59:10:e0,Broadcast,802.11,405,-69 dBm,-98 dBm,29 dB,1,2412MHz,"Beacon frame, SN=877, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Cafe,12,Friday,877.0,0,0.0,2024-10-25 12:04:47.712,0.069
56,2024-10-25 12:04:47.712,HewlettPacka_59:10:e3,Broadcast,802.11,412,-68 dBm,-98 dBm,30 dB,1,2412MHz,"Beacon frame, SN=878, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Cafe,12,Friday,878.0,0,0.0,2024-10-25 12:04:47.712,0.0
52,2024-10-25 12:04:47.715,HewlettPacka_59:10:e2,Broadcast,802.11,413,-68 dBm,-98 dBm,30 dB,1,2412MHz,"Beacon frame, SN=873, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Cafe,12,Friday,873.0,0,0.0,2024-10-25 12:04:47.715,0.003
53,2024-10-25 12:04:47.716,HewlettPacka_59:10:e4,Broadcast,802.11,422,-68 dBm,-98 dBm,30 dB,1,2412MHz,"Beacon frame, SN=874, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Cafe,12,Friday,874.0,0,0.0,2024-10-25 12:04:47.716,0.001
54,2024-10-25 12:04:47.716,HewlettPacka_59:10:e5,Broadcast,802.11,395,-68 dBm,-98 dBm,30 dB,1,2412MHz,"Beacon frame, SN=876, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Cafe,12,Friday,876.0,0,0.0,2024-10-25 12:04:47.716,0.0
57,2024-10-25 12:04:47.725,57:ad:b4:c8:c2:50,f1:41:dc:40:90:20,802.11,438,-72 dBm,-98 dBm,26 dB,1,2412MHz,"Beacon frame, SN=3846, FN=5, Flags=...PR...C, BI=47927",Cafe,12,Friday,3846.0,0,0.0,2024-10-25 12:04:47.725,0.009
58,2024-10-25 12:04:47.744,HewlettPacka_7a:5b:e2,Broadcast,802.11,412,-75 dBm,-98 dBm,23 dB,1,2412MHz,"Beacon frame, SN=2968, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Cafe,12,Friday,2968.0,0,0.0,2024-10-25 12:04:47.744,0.019
59,2024-10-25 12:04:47.744,HewlettPacka_7a:5b:e0,Broadcast,802.11,421,-74 dBm,-98 dBm,24 dB,1,2412MHz,"Beacon frame, SN=2969, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Cafe,12,Friday,2969.0,0,0.0,2024-10-25 12:04:47.744,0.0
60,2024-10-25 12:04:47.745,HewlettPacka_7a:5b:e5,Broadcast,802.11,411,-74 dBm,-98 dBm,24 dB,1,2412MHz,"Beacon frame, SN=2973, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Cafe,12,Friday,2973.0,0,0.0,2024-10-25 12:04:47.745,0.001
