No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
1,2024-10-25 15:16:38.769,6a:7a:d4:1d:e5:31,HewlettPacka_7d:60:81,802.11,62,-76 dBm,-98 dBm,22 dB,149,5745MHz,"Action, SN=202, FN=0, Flags=........C, Dialog Token=140",Library,15,Friday,202.0,0,0.0,2024-10-25 15:16:38.769,
5,2024-10-25 15:16:38.770,HewlettPacka_7d:60:81,6a:7a:d4:1d:e5:31,802.11,62,-50 dBm,-98 dBm,48 dB,149,5745MHz,"Action, SN=6, FN=0, Flags=........C, Dialog Token=140",Library,15,Friday,6.0,0,0.0,2024-10-25 15:16:38.770,0.001
38,2024-10-25 15:16:38.785,HewlettPacka_7d:60:80,Broadcast,802.11,389,-50 dBm,-98 dBm,48 dB,149,5745MHz,"Beacon frame, SN=1371, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,15,Friday,1371.0,0,0.0,2024-10-25 15:16:38.785,0.015
39,2024-10-25 15:16:38.785,HewlettPacka_7d:60:82,Broadcast,802.11,372,-50 dBm,-98 dBm,48 dB,149,5745MHz,"Beacon frame, SN=1372, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,15,Friday,1372.0,0,0.0,2024-10-25 15:16:38.785,0.0
40,2024-10-25 15:16:38.785,HewlettPacka_7d:60:83,Broadcast,802.11,381,-50 dBm,-98 dBm,48 dB,149,5745MHz,"Beacon frame, SN=1373, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,15,Friday,1373.0,0,0.0,2024-10-25 15:16:38.785,0.0
41,2024-10-25 15:16:38.786,HewlettPacka_7d:60:84,Broadcast,802.11,398,-50 dBm,-98 dBm,48 dB,149,5745MHz,"Beacon frame, SN=1374, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,15,Friday,1374.0,0,0.0,2024-10-25 15:16:38.786,0.001
42,2024-10-25 15:16:38.786,HewlettPacka_7d:60:85,Broadcast,802.11,360,-50 dBm,-98 dBm,48 dB,149,5745MHz,"Beacon frame, SN=1375, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,15,Friday,1375.0,0,0.0,2024-10-25 15:16:38.786,0.0
43,2024-10-25 15:16:38.786,HewlettPacka_7d:60:81,Broadcast,802.11,388,-49 dBm,-98 dBm,49 dB,149,5745MHz,"Beacon frame, SN=1376, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,15,Friday,1376.0,0,0.0,2024-10-25 15:16:38.786,0.0
44,2024-10-25 15:16:38.787,8e:a3:f4:c9:1f:18,Broadcast,802.11,442,-78 dBm,-98 dBm,20 dB,149,5745MHz,"Beacon frame, SN=3317, FN=0, Flags=........C, BI=100, SSID=""Stevené200\231s iPhone""",Library,15,Friday,3317.0,0,0.0,2024-10-25 15:16:38.787,0.001
73,2024-10-25 15:16:38.794,a2:1b:33:30:d3:db,HewlettPacka_7d:60:81,802.11,53,-64 dBm,-98 dBm,34 dB,149,5745MHz,"Null function (No data), SN=3382, FN=0, Flags=.......TC",Library,15,Friday,3382.0,0,0.0,2024-10-25 15:16:38.794,0.007
