No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
1,2024-10-28 12:28:52.483,Cisco_c0:29:95,Broadcast,802.11,247,-77 dBm,,,11,2462MHz,"Beacon frame, SN=2304, FN=0, Flags=........C, BI=102, SSID=00",Cafe,12,Monday,2304.0,0,0.0,2024-10-28 12:28:52.483,
2,2024-10-28 12:28:52.485,RuckusWirele_12:e6:d8,Pittasoft_04:0d:99,802.11,226,-74 dBm,,,11,2462MHz,"Probe Response, SN=2736, FN=0, Flags=........C, BI=100, SSID=""UNSW Village Tower 8""",Cafe,12,Monday,2736.0,1,0.0,2024-10-28 12:28:52.485,0.002
3,2024-10-28 12:28:52.487,RuckusWirele_12:e6:d8,Pittasoft_04:0d:99,802.11,226,-74 dBm,,,11,2462MHz,"Probe Response, SN=2736, FN=0, Flags=....R...C, BI=100, SSID=""UNSW Village Tower 8""",Cafe,12,Monday,2736.0,1,1.0,2024-10-28 12:28:52.487,0.002
7,2024-10-28 12:28:52.492,RuckusWirele_12:e6:d8,Pittasoft_04:0d:99,802.11,226,-72 dBm,,,11,2462MHz,"Probe Response, SN=2736, FN=0, Flags=....R...C, BI=100, SSID=""UNSW Village Tower 8""[Malformed Packet]",Cafe,12,Monday,2736.0,1,2.0,2024-10-28 12:28:52.492,0.005
9,2024-10-28 12:28:52.501,Cisco_c0:29:90,Broadcast,802.11,300,-65 dBm,,,11,2462MHz,"Beacon frame, SN=2305, FN=0, Flags=........C, BI=102, SSID=""eduroam""",Cafe,12,Monday,2305.0,0,0.0,2024-10-28 12:28:52.501,0.009
15,2024-10-28 12:28:52.551,Cisco_c0:29:91,Broadcast,802.11,300,-65 dBm,,,11,2462MHz,"Beacon frame, SN=2307, FN=0, Flags=........C, BI=102, SSID=""uniwide""",Cafe,12,Monday,2307.0,0,0.0,2024-10-28 12:28:52.551,0.05
16,2024-10-28 12:28:52.554,d9:c4:65:42:b5:51,f6:c7:76:82:04:7e,802.11,483,-76 dBm,,,11,2462MHz,"Association Response, SN=3757, FN=8, Flags=opmP.MF.C",Cafe,12,Monday,3757.0,0,0.0,2024-10-28 12:28:52.554,0.003
19,2024-10-28 12:28:52.575,Cisco_c0:29:93,Broadcast,802.11,281,-66 dBm,,,11,2462MHz,"Beacon frame, SN=2308, FN=0, Flags=........C, BI=102, SSID=""UNSW Guest""",Cafe,12,Monday,2308.0,0,0.0,2024-10-28 12:28:52.575,0.021
23,2024-10-28 12:28:52.606,Cisco_c0:29:90,Broadcast,802.11,300,-66 dBm,,,11,2462MHz,"Beacon frame, SN=2310, FN=0, Flags=........C, BI=102, SSID=""eduroam""",Cafe,12,Monday,2310.0,0,0.0,2024-10-28 12:28:52.606,0.031
24,2024-10-28 12:28:52.609,60:30:bf:1b:70:a6,Broadcast,802.11,250,-75 dBm,,,11,2462MHz,"Beacon frame, SN=1508, FN=0, Flags=........C, BI=100, SSID=""UNSW Village Tower 8""",Cafe,12,Monday,1508.0,0,0.0,2024-10-28 12:28:52.609,0.003
25,2024-10-28 12:28:52.627,a8:1d:58:01:7a:cb,Broadcast,802.11,247,-78 dBm,,,11,2462MHz,"Beacon frame, SN=3135, FN=8, Flags=........C, BI=102, SSID=00",Cafe,12,Monday,3135.0,0,0.0,2024-10-28 12:28:52.627,0.018
30,2024-10-28 12:28:52.680,Cisco_c0:29:93,Broadcast,802.11,281,-65 dBm,,,11,2462MHz,"Beacon frame, SN=2313, FN=0, Flags=........C, BI=102, SSID=""UNSW Guest""",Cafe,12,Monday,2313.0,0,0.0,2024-10-28 12:28:52.680,0.053
38,2024-10-28 12:28:52.789,32:f3:d8:0a:48:01,Broadcast,802.11,144,-72 dBm,,,11,2462MHz,"Probe Request, SN=263, FN=0, Flags=........C, SSID=Wildcard (Broadcast)",Cafe,12,Monday,263.0,0,0.0,2024-10-28 12:28:52.789,0.109
39,2024-10-28 12:28:52.789,Cisco_c0:29:90,32:f3:d8:0a:48:01,802.11,294,-65 dBm,,,11,2462MHz,"Probe Response, SN=3254, FN=0, Flags=....R...C, BI=102, SSID=""eduroam""",Cafe,12,Monday,3254.0,1,0.0,2024-10-28 12:28:52.789,0.0
40,2024-10-28 12:28:52.790,Cisco_c0:29:90,32:f3:d8:0a:48:01,802.11,294,-65 dBm,,,11,2462MHz,"Probe Response, SN=3254, FN=0, Flags=....R...C, BI=102, SSID=""eduroam""",Cafe,12,Monday,3254.0,1,1.0,2024-10-28 12:28:52.790,0.001
41,2024-10-28 12:28:52.790,Cisco_c0:29:90,32:f3:d8:0a:48:01,802.11,294,-66 dBm,,,11,2462MHz,"Probe Response, SN=3254, FN=0, Flags=....R...C, BI=102, SSID=""eduroam""",Cafe,12,Monday,3254.0,1,2.0,2024-10-28 12:28:52.790,0.0
42,2024-10-28 12:28:52.790,Cisco_c0:29:94,32:f3:d8:0a:48:01,802.11,302,-64 dBm,,,11,2462MHz,"Probe Response, SN=3255, FN=0, Flags=....R...C, BI=102, SSID=""Global_Students""",Cafe,12,Monday,3255.0,0,0.0,2024-10-28 12:28:52.790,0.0
43,2024-10-28 12:28:52.793,Cisco_c0:29:91,32:f3:d8:0a:48:01,802.11,294,-64 dBm,,,11,2462MHz,"Probe Response, SN=3256, FN=0, Flags=....R...C, BI=102, SSID=""uniwide""",Cafe,12,Monday,3256.0,0,0.0,2024-10-28 12:28:52.793,0.003
44,2024-10-28 12:28:52.793,Cisco_c0:29:93,32:f3:d8:0a:48:01,802.11,275,-65 dBm,,,11,2462MHz,"Probe Response, SN=3257, FN=0, Flags=....R...C, BI=102, SSID=""UNSW Guest""",Cafe,12,Monday,3257.0,1,0.0,2024-10-28 12:28:52.793,0.0
45,2024-10-28 12:28:52.793,Cisco_c0:29:93,32:f3:d8:0a:48:01,802.11,275,-66 dBm,,,11,2462MHz,"Probe Response, SN=3257, FN=0, Flags=....R...C, BI=102, SSID=""UNSW Guest""",Cafe,12,Monday,3257.0,1,1.0,2024-10-28 12:28:52.793,0.0
46,2024-10-28 12:28:52.794,Cisco_c0:29:93,32:f3:d8:0a:48:01,802.11,275,-66 dBm,,,11,2462MHz,"Probe Response, SN=3257, FN=0, Flags=....R...C, BI=102, SSID=""UNSW Guest""",Cafe,12,Monday,3257.0,1,2.0,2024-10-28 12:28:52.794,0.001
