No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Channel,Frequency,Info,Loation,Time_of_day,Day,Sequence Number,Retransmission Flag,Retransmission Count,absolute time,Latency
40,2024-10-26 19:09:04.622,HewlettPacka_7a:f1:40,Broadcast,802.11,389,-56 dBm,-72 dBm,16 dB,44,5220MHz,"Beacon frame, SN=3707, FN=0, Flags=........C, BI=100, SSID=""UNSW-IoT""",Library,19,Saturday,3707.0,0,0.0,2024-10-26 19:09:04.622,
41,2024-10-26 19:09:04.622,HewlettPacka_7a:f1:43,Broadcast,802.11,398,-56 dBm,-72 dBm,16 dB,44,5220MHz,"Beacon frame, SN=3708, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,3708.0,0,0.0,2024-10-26 19:09:04.622,0.0
42,2024-10-26 19:09:04.623,HewlettPacka_7a:f1:44,Broadcast,802.11,360,-56 dBm,-72 dBm,16 dB,44,5220MHz,"Beacon frame, SN=3709, FN=0, Flags=........C, BI=100, SSID=""UNSW Guest""",Library,19,Saturday,3709.0,0,0.0,2024-10-26 19:09:04.623,0.001
43,2024-10-26 19:09:04.623,HewlettPacka_7a:f1:45,Broadcast,802.11,372,-56 dBm,-72 dBm,16 dB,44,5220MHz,"Beacon frame, SN=3710, FN=0, Flags=........C, BI=100, SSID=""Global_Students""",Library,19,Saturday,3710.0,0,0.0,2024-10-26 19:09:04.623,0.0
44,2024-10-26 19:09:04.623,HewlettPacka_7a:f1:42,Broadcast,802.11,381,-56 dBm,-72 dBm,16 dB,44,5220MHz,"Beacon frame, SN=3711, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,3711.0,0,0.0,2024-10-26 19:09:04.623,0.0
45,2024-10-26 19:09:04.624,HewlettPacka_7a:f1:41,Broadcast,802.11,388,-56 dBm,-72 dBm,16 dB,44,5220MHz,"Beacon frame, SN=3712, FN=0, Flags=........C, BI=100, SSID=""uniwide""",Library,19,Saturday,3712.0,0,0.0,2024-10-26 19:09:04.624,0.001
118,2024-10-26 19:09:04.665,Apple_ec:fd:3e,HewlettPacka_7a:f1:41,802.11,53,-62 dBm,-72 dBm,10 dB,44,5220MHz,"Null function (No data), SN=3630, FN=0, Flags=...P...TC",Library,19,Saturday,3630.0,1,0.0,2024-10-26 19:09:04.665,0.041
121,2024-10-26 19:09:04.667,Apple_ec:fd:3e,HewlettPacka_7a:f1:41,802.11,53,-62 dBm,-72 dBm,10 dB,44,5220MHz,"Null function (No data), SN=3630, FN=0, Flags=...PR..TC",Library,19,Saturday,3630.0,1,1.0,2024-10-26 19:09:04.667,0.002
142,2024-10-26 19:09:04.784,ca:3f:9b:2d:c2:db,Broadcast,802.11,295,-80 dBm,-72 dBm,-8 dB,1,2412MHz,"Beacon frame, SN=624, FN=0, Flags=........C, BI=100, SSID=""Galaxy S24+ DB57""",Library,19,Saturday,624.0,0,0.0,2024-10-26 19:09:04.784,0.117
144,2024-10-26 19:09:04.805,HewlettPacka_7b:e0:32,Broadcast,802.11,361,-78 dBm,-72 dBm,-6 dB,1,2412MHz,"Beacon frame, SN=273, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,273.0,0,0.0,2024-10-26 19:09:04.805,0.021
145,2024-10-26 19:09:04.806,HewlettPacka_7b:e0:31,Broadcast,802.11,368,-79 dBm,-72 dBm,-7 dB,1,2412MHz,"Beacon frame, SN=274, FN=0, Flags=........C, BI=100, SSID=""uniwide""[Malformed Packet]",Library,19,Saturday,274.0,0,0.0,2024-10-26 19:09:04.806,0.001
146,2024-10-26 19:09:04.815,HewlettPacka_7a:5b:e0,Broadcast,802.11,378,-63 dBm,-72 dBm,9 dB,1,2412MHz,"Beacon frame, SN=4042, FN=0, Flags=........C, BI=100, SSID=""eduroam""",Library,19,Saturday,4042.0,0,0.0,2024-10-26 19:09:04.815,0.009
147,2024-10-26 19:09:04.819,HewlettPacka_7a:5b:e1,Broadcast,802.11,361,-62 dBm,-72 dBm,10 dB,1,2412MHz,"Beacon frame, SN=4045, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)",Library,19,Saturday,4045.0,0,0.0,2024-10-26 19:09:04.819,0.004
